product_id,attribute_id,confidence,evidence,model
B07FVZVQKV,attribute_b282014d7c84d09f,0.75,title: 1.5oz,rules
B01ERJEGS6,attribute_edcf84a7e268bb42,0.95,store: Balmain,deepseek-v4-flash
B01ERJEGS6,attribute_04bafd83548381d1,0.9,Item Form: Spray,deepseek-v4-flash
B01ERJEGS6,attribute_d7b531d83ba03f81,0.75,title: 90ml,deepseek-v4-flash
B01ERJEGS6,attribute_dade4590d7137f15,0.65,title: gold,deepseek-v4-flash
B01ERJEGS6,attribute_96d9328f52d10ba5,1.0,Edt spray,deepseek-v4-flash
B01ERJEGS6,attribute_9c1ef1d8e595f68e,0.9,Gold extatic Musk,deepseek-v4-flash
B01ERJEGS6,attribute_c15c9d8547cf1f88,1.0,3 oz,deepseek-v4-flash
B01ERJEGS6,attribute_111636ee87b377f4,1.0,Spray,deepseek-v4-flash
B01555WAOS,attribute_ab77118a8e8c9181,0.95,store: AVON,deepseek-v4-flash
B01555WAOS,attribute_f03aa5d3452da917,0.9,Color: black,deepseek-v4-flash
B01555WAOS,attribute_b96630ed250523ee,0.65,title: brown,deepseek-v4-flash
B01555WAOS,attribute_e7931a1d3bfe18c8,1.0,Big & False Lash Mascara,deepseek-v4-flash
B07GGYR3LJ,attribute_358b7c417c4d0cfe,0.95,store: Brrnoo,deepseek-v4-flash
B07GGYR3LJ,attribute_64e1b604d8fbc982,0.9,Material: Metal,deepseek-v4-flash
B07GGYR3LJ,attribute_a3e15900fc78187c,0.9,Hair Type: All,deepseek-v4-flash
B07GGYR3LJ,attribute_2ac91817c6dc2ed6,0.9,Unit Count: 1.00 Count,deepseek-v4-flash
B07GGYR3LJ,attribute_174b54de7122ff6f,1.0,Beard Comb,deepseek-v4-flash
B07GGYR3LJ,attribute_91f6f67f0d907219,0.8,Material: Metal,deepseek-v4-flash
B00FCQHYEW,attribute_4d4dbae193cde8b7,0.95,store: Buytra,deepseek-v4-flash
B07ZJW55Z5,attribute_5f4d23ea2953441b,0.95,store: Chloe,deepseek-v4-flash
B07ZJW55Z5,attribute_68471a2791d5edf2,0.7,Nomade By Chloe,deepseek-v4-flash
B07ZJW55Z5,attribute_dd4fc84dc1ebc789,0.9,Nomade,deepseek-v4-flash
B074SHN8YC,attribute_caf7cb75386c5541,0.95,store: dingxiu,rules
B074SHN8YC,attribute_a8d80fb2270ca2ab,0.75,title: 100g,rules
B08X7JHQG5,attribute_23826e2eb6d2e1c8,0.95,store: BioMiracle,deepseek-v4-flash
B08X7JHQG5,attribute_fc6db98750f95668,0.9,Skin Type: All,deepseek-v4-flash
B08X7JHQG5,attribute_c4f35b4bf51955d3,0.9,Scent: Apple,deepseek-v4-flash
B08X7JHQG5,attribute_da84be739250c281,0.9,Item Form: Sheet,deepseek-v4-flash
B08X7JHQG5,attribute_61aaf750d3bbc379,0.9,Product Benefits: Hydrating,deepseek-v4-flash
B08X7JHQG5,attribute_1b00c776edc10fad,0.65,title: clear,deepseek-v4-flash
B07WFSQXL5,attribute_40d1720424886e63,0.95,store: PPY,deepseek-v4-flash
B07WFSQXL5,attribute_106eb31d0ad8769a,0.9,Scent: Aloe,deepseek-v4-flash
B07WFSQXL5,attribute_1ab4b8ffdfec4f8f,0.65,title: white,deepseek-v4-flash
B07MH4Z7J7,attribute_a82901f032607ff8,0.95,store: Nadula,deepseek-v4-flash
B07MH4Z7J7,attribute_0efeb815415e9186,0.9,Material: Human Hair,deepseek-v4-flash
B07MH4Z7J7,attribute_6285d96f3d997d87,0.9,"Hair Type: Curly, Coily",deepseek-v4-flash
B07MH4Z7J7,attribute_ec1264b4311e7b7e,0.75,title: 18inch,deepseek-v4-flash
B07MH4Z7J7,attribute_f03aa5d3452da917,0.65,title: black,deepseek-v4-flash
B08BV6F6BC,attribute_821cb6816ee3a815,0.95,store: WIXAR NATURALS,deepseek-v4-flash
B08BV6F6BC,attribute_7b6b1771f993381d,0.9,"Skin Type: Oily,Sensitive,All Skin Types",deepseek-v4-flash
B08BV6F6BC,attribute_7769c6877844280a,0.9,Scent: Lavender,deepseek-v4-flash
B08BV6F6BC,attribute_9ec11ecb096b876f,0.9,Item Form: Bar,deepseek-v4-flash
B08BV6F6BC,attribute_b72bd63956647c5e,0.75,title: 2 PACK,deepseek-v4-flash
B07X1TK3VS,attribute_812aeb380781c547,0.95,store: VIROCHEMISTRY,deepseek-v4-flash
B07X1TK3VS,attribute_70948989c95ee1b1,0.9,Item Form: Liquid,deepseek-v4-flash
B07X1TK3VS,attribute_1855f0b8cc7d9dcf,0.75,title: 1 Fl. Oz,deepseek-v4-flash
B07MDP86Q4,attribute_07395bdb7106a060,0.95,store: Ve Sunny,deepseek-v4-flash
B07MDP86Q4,attribute_0efeb815415e9186,0.9,Material: Human Hair,deepseek-v4-flash
B07MDP86Q4,attribute_3c6b220fd942dff3,0.9,Hair Type: Straight,deepseek-v4-flash
B07MDP86Q4,attribute_5b1aa15c3db9fb4d,0.75,title: 7Pcs,deepseek-v4-flash
B07MDP86Q4,attribute_b96630ed250523ee,0.65,title: brown,deepseek-v4-flash
B07CV988JX,attribute_b1ff9acc49efb41c,0.95,store: TOODOO,deepseek-v4-flash
B0B77LDV4B,attribute_61ae9fde35bd1c6a,0.95,store: muaowig,deepseek-v4-flash
B0B77LDV4B,attribute_0efeb815415e9186,0.9,Material: Human Hair,deepseek-v4-flash
B0B77LDV4B,attribute_3c6b220fd942dff3,0.9,Hair Type: Straight,deepseek-v4-flash
B0B77LDV4B,attribute_5a1bb5553d3d4fbf,0.75,title: 14 inch,deepseek-v4-flash
B0B77LDV4B,attribute_a64490da866eb222,0.65,title: red,deepseek-v4-flash
B088ZB4DTH,attribute_727722260bf8629b,0.95,store: Astraet,deepseek-v4-flash
B088ZB4DTH,attribute_b8a0a3f33c239949,0.9,Material: Rubber,deepseek-v4-flash
B088ZB4DTH,attribute_2f222083c2390ce0,0.9,Color: Pink,deepseek-v4-flash
B088ZB4DTH,attribute_bef2b14bcb7793ba,0.75,title: 10 PCS,deepseek-v4-flash
B086Y93JJC,attribute_ca5d2590a05cde70,0.95,store: ELBT,deepseek-v4-flash
B086Y93JJC,attribute_47ac658bd11eb7df,0.9,Material: Emery,deepseek-v4-flash
B086Y93JJC,attribute_f907d3441c6a198a,0.9,Unit Count: 12.00 Count,deepseek-v4-flash
B086Y93JJC,attribute_8f250fa9db0de2d1,0.75,title: 12 Pcs,deepseek-v4-flash
B07Z818MLY,attribute_e53357e05e60758f,0.95,store: Yun Mei Hair,deepseek-v4-flash
B07Z818MLY,attribute_cd744dd77d211b38,0.9,Material: Synthetic,deepseek-v4-flash
B07Z818MLY,attribute_f5014e73afcc8131,0.9,Hair Type: Wavy,deepseek-v4-flash
B07Z818MLY,attribute_86ae89fc7aa016be,0.75,title: 22 Inch,deepseek-v4-flash
B004ZWH3XG,attribute_38e3086b5aca3164,0.95,store: Garnier,deepseek-v4-flash
B004ZWH3XG,attribute_55774c5f29f3f538,0.75,title: 6 oz,deepseek-v4-flash
B071DY8Z4B,attribute_517aa8e1819bf655,0.95,store: BEWAVE,deepseek-v4-flash
B071DY8Z4B,attribute_b5e40193f5860fe3,0.9,Hair Type: Curly,deepseek-v4-flash
B071DY8Z4B,attribute_2ac91817c6dc2ed6,0.9,Unit Count: 1.00 Count,deepseek-v4-flash
B0BTLTVR1X,attribute_470a556776f50b39,0.95,store: BORELTH,deepseek-v4-flash
B0BTLTVR1X,attribute_902031c04e676933,0.75,title: 8 Ounce,deepseek-v4-flash
B07DRZLZQQ,attribute_052ce7985c13ac7d,0.95,store: Enjoy Hair Care Products,deepseek-v4-flash
B07DRZLZQQ,attribute_a2904fe41b8dd4a8,0.75,title: 8.8 oz,deepseek-v4-flash
B01D8DTE4I,attribute_428895548273a05f,0.95,store: WindMax,rules
B01D8DTE4I,attribute_b96630ed250523ee,0.65,title: brown,rules
B01LZXWCXM,attribute_22ec6f2a1cbb85bb,0.9,Brand: Suavecito,deepseek-v4-flash
B01LZXWCXM,attribute_8719400aec8afcb6,0.9,Item Form: Wax,deepseek-v4-flash
B01LZXWCXM,attribute_5f8f3c63aaf70687,0.9,Product Benefits: This water soluble pomade offers a medium hold and medium shine without,deepseek-v4-flash
B01LZXWCXM,attribute_a3e15900fc78187c,0.9,Hair Type: All,deepseek-v4-flash
B0017WUID4,attribute_8204c65e7d25e84e,0.95,store: Co-t ARBrend,deepseek-v4-flash
B0017WUID4,attribute_89ea3446024bc3e6,0.75,title: 3.3oz,deepseek-v4-flash
B086HRN773,attribute_09669b02b50a53d0,0.95,store: John Frieda,deepseek-v4-flash
B086HRN773,attribute_a520aac71d9029b5,0.9,Scent: Coconut,deepseek-v4-flash
B086HRN773,attribute_70948989c95ee1b1,0.9,Item Form: Liquid,deepseek-v4-flash
B086HRN773,attribute_d30c28845025b090,0.9,"Hair Type: Coarse, Wavy, Curly, Dry, Damaged",deepseek-v4-flash
B086HRN773,attribute_fb55d1a8586f165b,0.75,title: 8.45oz,deepseek-v4-flash
B071G4NNH7,attribute_b559e0b425310383,0.95,store: Sharonelle,deepseek-v4-flash
B071G4NNH7,attribute_fbd8936c219bb836,0.9,Skin Type: Sensitive,deepseek-v4-flash
B071G4NNH7,attribute_8719400aec8afcb6,0.9,Item Form: Wax,deepseek-v4-flash
B071G4NNH7,attribute_dd9b31d78e9809bb,0.9,Unit Count: 4.00 Count,deepseek-v4-flash
B071G4NNH7,attribute_9f6ab3d754f50b65,0.75,title: 14 oz,deepseek-v4-flash
B008U5QJYS,attribute_d385eace3210dafb,0.95,store: Voronajj,deepseek-v4-flash
B008U5QJYS,attribute_fc6db98750f95668,0.9,Skin Type: All,deepseek-v4-flash
B008U5QJYS,attribute_9998b8ec16b62de1,0.9,Unit Count: 1.0 Count,deepseek-v4-flash
B008U5QJYS,attribute_262df0ad1c73df40,0.75,title: 0.09 oz,deepseek-v4-flash
B087QGZXLP,attribute_424868539ca32a82,0.95,store: Dufy,deepseek-v4-flash
B087QGZXLP,attribute_a4c89b175b4a937a,0.9,"Color: Colorful,rose",deepseek-v4-flash
B01MCXNGP8,attribute_4605c17108d26df7,0.95,store: Dionis,deepseek-v4-flash
B01MCXNGP8,attribute_85cfb540c741ed1c,0.9,Unit Count: 4.00 tube,deepseek-v4-flash
B017JPCGSM,attribute_4625b95d17bc0d6a,0.9,"Item Form: Foam, Gel",deepseek-v4-flash
B017JPCGSM,attribute_77e7cc27560f239f,0.9,Unit Count: 8.5 Fl Oz,deepseek-v4-flash
B017JPCGSM,attribute_b6fea74f81249b78,0.75,title: 250ml,deepseek-v4-flash
B07B6F7NJ5,attribute_d0c83201683f12e5,0.95,store: 100% PURE,deepseek-v4-flash
B07B6F7NJ5,attribute_a0636dc79f8c74e6,0.9,"Scent: Orange,Mint",deepseek-v4-flash
B07B6F7NJ5,attribute_70948989c95ee1b1,0.9,Item Form: Liquid,deepseek-v4-flash
B07B6F7NJ5,attribute_2b77f13bdb4e3e9e,0.9,Hair Type: Dry,deepseek-v4-flash
B07B6F7NJ5,attribute_07d9c59deba37257,0.75,title: 13.5 Fl Oz,deepseek-v4-flash
B08CGWHCNN,attribute_675c6e56808fd55f,0.95,store: FeiDing,deepseek-v4-flash
B08CGWHCNN,attribute_04bafd83548381d1,0.9,Item Form: Spray,deepseek-v4-flash
B08CGWHCNN,attribute_2ac91817c6dc2ed6,0.9,Unit Count: 1.00 Count,deepseek-v4-flash
B08CGWHCNN,attribute_dade4590d7137f15,0.65,title: gold,deepseek-v4-flash
B091SRVJLG,attribute_16124023b138faf3,0.95,store: AGOAL,rules
B08LYT4Q2X,attribute_47a7889ca46a55ae,0.95,store: Shiny Leaf,deepseek-v4-flash
B08LYT4Q2X,attribute_ea80465d7c62b636,0.9,Scent: Almond Oil and Fractionated Coconut,deepseek-v4-flash
B08LYT4Q2X,attribute_1dffaa257c5c9706,0.9,Item Form: Oil,deepseek-v4-flash
B08LYT4Q2X,attribute_c1290ddf3a99a528,0.9,Unit Count: 32.00 Fl Oz,deepseek-v4-flash
B08LYT4Q2X,attribute_de72d18517cdc29d,0.75,title: 16 fl. Oz,deepseek-v4-flash
B089CSF11Y,attribute_d701f6f2f5f2f333,0.95,store: Cherry,deepseek-v4-flash
B089CSF11Y,attribute_2e6ac263509bc4c5,0.9,Material: Glass,deepseek-v4-flash
B089CSF11Y,attribute_cc853181e1d73030,0.75,title: 16 oz,deepseek-v4-flash
B089CSF11Y,attribute_b96630ed250523ee,0.65,title: brown,deepseek-v4-flash
B073RBSXY9,attribute_14e4d38737e92288,0.95,store: Cloud 9,deepseek-v4-flash
B073RBSXY9,attribute_fc6db98750f95668,0.9,Skin Type: All,deepseek-v4-flash
B073RBSXY9,attribute_c76bc905aee581ea,0.9,Item Form: Capsule,deepseek-v4-flash
B073RBSXY9,attribute_e28d4ccc189295e5,0.9,Unit Count: 2.7 Fl Oz,deepseek-v4-flash
B073RBSXY9,attribute_503f3dea5aba53ac,0.75,title: 80ml,deepseek-v4-flash
B005DT7YP2,attribute_609e1b68106c9182,0.95,store: Raven Moonlight,deepseek-v4-flash
B005DT7YP2,attribute_857b022ce8efd21b,0.9,"Skin Type: All, Sensitive",deepseek-v4-flash
B005DT7YP2,attribute_b81357a2689f75fe,0.9,Scent: White Kaolin,deepseek-v4-flash
B005DT7YP2,attribute_3fc21992a4f08219,0.9,Item Form: Clay,deepseek-v4-flash
B005DT7YP2,attribute_128132a01aa4015e,0.9,Unit Count: 1.0 Ounce,deepseek-v4-flash
B005DT7YP2,attribute_1ab4b8ffdfec4f8f,0.65,title: white,deepseek-v4-flash
B08R8JSNL8,attribute_0f92b65079720be2,0.95,store: LAMJAD,deepseek-v4-flash
B08R8JSNL8,attribute_fc6db98750f95668,0.9,Skin Type: All,deepseek-v4-flash
B08R8JSNL8,attribute_70948989c95ee1b1,0.9,Item Form: liquid,deepseek-v4-flash
B08R8JSNL8,attribute_cd744dd77d211b38,0.9,Material: synthetic,deepseek-v4-flash
B08R8JSNL8,attribute_dade4590d7137f15,0.65,title: gold,deepseek-v4-flash
B08F56PF98,attribute_f8568cc69f9cf359,0.95,store: RPP,rules
B08F56PF98,attribute_2f222083c2390ce0,0.65,title: pink,rules
B0181ML7X2,attribute_ab77118a8e8c9181,0.95,store: AVON,rules
B0181ML7X2,attribute_ffc48dcc3d2619ea,0.75,title: 2.65 oz,rules
B07QNGTSYY,attribute_b873c13e866ba19e,0.95,store: Serge Lutens,deepseek-v4-flash
B07QNGTSYY,attribute_7324d0a3fc511f5c,0.75,title: 03 oz,deepseek-v4-flash
B087BL2XJ5,attribute_dee05eb195f8134f,0.95,store: Neutral,deepseek-v4-flash
B087BL2XJ5,attribute_8719400aec8afcb6,0.9,Item Form: Wax,deepseek-v4-flash
B087BL2XJ5,attribute_2ac91817c6dc2ed6,0.9,Unit Count: 1.00 Count,deepseek-v4-flash
B087BL2XJ5,attribute_a64490da866eb222,0.65,title: red,deepseek-v4-flash
B07R7YWQKW,attribute_3b7ac1f5723302dd,0.95,store: House of Armáf,deepseek-v4-flash
B07R7YWQKW,attribute_04bafd83548381d1,0.9,Item Form: Spray,deepseek-v4-flash
B07R7YWQKW,attribute_8fbb8e90dbaaaf09,0.75,title: 3.4 oz,deepseek-v4-flash
B08FZB43ZK,attribute_3693333570d510dc,0.95,store: Vedory,deepseek-v4-flash
B08FZB43ZK,attribute_ecd13d995fe7b527,0.75,title: 5Pcs,deepseek-v4-flash
B00BX9KND6,attribute_cb239c4a2f91633f,0.95,store: Gojo,deepseek-v4-flash
B01JRZXSSE,attribute_5fa99532ae1d5654,0.95,store: DerBlue ARBrend,rules
B005TP0PHO,attribute_4e9409e110db9b7e,0.95,store: Lily Of The Desert,deepseek-v4-flash
B005TP0PHO,attribute_ed839b819b8f8482,0.9,Item Form: Softgel,deepseek-v4-flash
B005TP0PHO,attribute_c2ee456cf9bc2f6c,0.75,title: 32 oz,deepseek-v4-flash
B000BBPSFA,attribute_3e1f1681925b9e91,0.95,store: Norelco,deepseek-v4-flash
B000BBPSFA,attribute_7c8f8ab7abfdb902,0.9,Color: Metallic Grey,deepseek-v4-flash
B07G9X7NLW,attribute_d1159741c771da2b,0.95,store: Cosrea,deepseek-v4-flash
B07G9X7NLW,attribute_0efeb815415e9186,0.9,Material: Human Hair,deepseek-v4-flash
B07G9X7NLW,attribute_f5014e73afcc8131,0.9,Hair Type: Wavy,deepseek-v4-flash
B07G9X7NLW,attribute_2f222083c2390ce0,0.65,title: pink,deepseek-v4-flash
B07FXLQ65C,attribute_fbae1ef82d3ba923,0.95,store: Easyouth,deepseek-v4-flash
B07FXLQ65C,attribute_0efeb815415e9186,0.9,Material: Human Hair,deepseek-v4-flash
B07FXLQ65C,attribute_3c6b220fd942dff3,0.9,Hair Type: Straight,deepseek-v4-flash
B07FXLQ65C,attribute_003fa00e3406d5a6,0.75,title: 20pcs,deepseek-v4-flash
B07FXLQ65C,attribute_f03aa5d3452da917,0.65,title: black,deepseek-v4-flash
B07ZK5T97C,attribute_378b795c1cfb43bb,0.95,store: Benehair,deepseek-v4-flash
B07ZK5T97C,attribute_3c6b220fd942dff3,0.9,Hair Type: Straight,deepseek-v4-flash
B07ZK5T97C,attribute_bd988b477728c9cc,0.75,title: 14inch,deepseek-v4-flash
B00V5JV3C4,attribute_b18ba4c239e2f620,0.95,store: Glance,rules
B00V5JV3C4,attribute_f03aa5d3452da917,0.65,title: black,rules
B000VCCM58,attribute_3d5c88588d5742ba,0.95,store: AJ Wholesale,deepseek-v4-flash
B08N59PWV6,attribute_23057a09ff44b40a,0.95,store: BCE Trends,deepseek-v4-flash
B08N59PWV6,attribute_38740edce505787c,0.65,title: blue,deepseek-v4-flash
B0B8D137G7,attribute_b4b0f32ebc93bfd8,0.95,store: Tuklye,deepseek-v4-flash
B0B8D137G7,attribute_6b8d30ae2d0aaebc,0.9,"Material: Acrylic, Acrylonitrile Butadiene Styrene (ABS)",deepseek-v4-flash
B0B8D137G7,attribute_1ab4b8ffdfec4f8f,0.9,Color: White,deepseek-v4-flash
B0B8D137G7,attribute_436a5a52435e900e,0.9,Size: Large,deepseek-v4-flash
B0B8D137G7,attribute_9441402397455d8b,0.75,title: 24Pcs,deepseek-v4-flash
B0B8D137G7,attribute_ce6ff15e5fe0efd5,1.0,Press on Nails Long with Rhinestone Designs,deepseek-v4-flash
B0B8D137G7,attribute_b35bc3a5a95c4178,1.0,"Material Acrylic, Acrylonitrile Butadiene Styrene (ABS)",deepseek-v4-flash
B07QKYM8LR,attribute_064988faaf480bdc,0.95,store: pureluca,deepseek-v4-flash
B07QKYM8LR,attribute_a40817a7f6ffbe50,0.9,Item Form: Scrunchie,deepseek-v4-flash
B07QKYM8LR,attribute_4473db570896b2ec,0.9,Material: Silk,deepseek-v4-flash
B07QKYM8LR,attribute_a3e15900fc78187c,0.9,Hair Type: All,deepseek-v4-flash
B07QKYM8LR,attribute_ec059e792e40c5de,0.75,title: 4Pcs,deepseek-v4-flash
B07QKYM8LR,attribute_983b68797125dd92,1.0,4Pcs Floral Print Scarf Scrunchie,deepseek-v4-flash
B07QKYM8LR,attribute_6f92b88b01c4f521,0.8,Floral Print Scarf Scrunchie,deepseek-v4-flash
B07KFPH3S7,attribute_faf979ae36c48940,0.95,store: LeChat,deepseek-v4-flash
B07KFPH3S7,attribute_42f2ef53eef1b341,0.9,Item Form: Gel,deepseek-v4-flash
B07KFPH3S7,attribute_2ac91817c6dc2ed6,0.9,Unit Count: 1.00 Count,deepseek-v4-flash
B07KFPH3S7,attribute_75175b7ee4158629,0.75,title: 0.25oz,deepseek-v4-flash
B07KFPH3S7,attribute_305a57e6906a069a,1.0,High Gloss Top Gel Sealer + Ultra-Thin Base Gel,deepseek-v4-flash
B07KFPH3S7,attribute_88fab22610aca721,1.0,Item Form Gel,deepseek-v4-flash
B09B9NFFSM,attribute_e19004220e56b33f,0.95,store: WISLIBE,rules
B00OYP165K,attribute_0a045db4ea92a37b,0.95,store: Thierry Mugler,deepseek-v4-flash
B00OYP165K,attribute_cae5d609508b8082,0.9,Item Form: Lotion,deepseek-v4-flash
B00OYP165K,attribute_61aaf750d3bbc379,0.9,Product Benefits: Hydrating,deepseek-v4-flash
B00OYP165K,attribute_cd4fa092e1bdb111,0.9,Unit Count: 6.9 Ounce,deepseek-v4-flash
B00OYP165K,attribute_7536143722dc9cab,0.75,title: 7 oz,deepseek-v4-flash
B07KFGWC8S,attribute_c7e28b0030dad551,0.95,store: Amope,deepseek-v4-flash
B07KFGWC8S,attribute_fc6db98750f95668,0.9,Skin Type: All,deepseek-v4-flash
B07KFGWC8S,attribute_7c4c7aafe8c8f563,0.9,Scent: Macadamia,deepseek-v4-flash
B07KFGWC8S,attribute_da84be739250c281,0.9,Item Form: Sheet,deepseek-v4-flash
B07KFGWC8S,attribute_d6f11db010f4fb38,0.9,Product Benefits: Smoothening,deepseek-v4-flash
B08LYZY994,attribute_9f0d37f22dcfbeb1,0.95,store: YYgY,deepseek-v4-flash
B08LYZY994,attribute_0efeb815415e9186,0.9,Material: Human Hair,deepseek-v4-flash
B08LYZY994,attribute_f5014e73afcc8131,0.9,Hair Type: Wavy,deepseek-v4-flash
B08LYZY994,attribute_51612ed7068aee26,0.75,title: 26 inch,deepseek-v4-flash
B08LYZY994,attribute_f03aa5d3452da917,0.65,title: black,deepseek-v4-flash
B094NW9PRS,attribute_5e0eabb9aa8b7098,0.95,store: Jxueych,deepseek-v4-flash
B094NW9PRS,attribute_a40817a7f6ffbe50,0.9,Item Form: Scrunchie,deepseek-v4-flash
B094NW9PRS,attribute_8a40d7d5095ee24d,0.9,Material: fabric,deepseek-v4-flash
B094NW9PRS,attribute_13477ff297e7b3c0,0.9,"Color: Multicolor,White",deepseek-v4-flash
B094NW9PRS,attribute_b5e40193f5860fe3,0.9,Hair Type: Curly,deepseek-v4-flash
B094NW9PRS,attribute_1ab4b8ffdfec4f8f,0.65,title: white,deepseek-v4-flash
B01BGSYRD0,attribute_cbdc7d1bb9fcc5fe,0.95,store: reskin,deepseek-v4-flash
B01BGSYRD0,attribute_89e161eb3cd01ee4,0.75,title: 10.14fl.oz,deepseek-v4-flash
B094QK5NSZ,attribute_85ba7aa072fd1a67,0.95,store: Havtyyise,rules
B094QK5NSZ,attribute_3e9fe60242a50314,0.75,title: 31 inches,rules
B07CSKGJ2H,attribute_caa07b7cad9367c0,0.95,store: lifetop,deepseek-v4-flash
B07CSKGJ2H,attribute_cc249886fe96fc7a,0.9,"Product Benefits: Softening,Pores,Exfoliating",deepseek-v4-flash
B07CSKGJ2H,attribute_6f177f542ba847e3,0.9,Material: Bamboo,deepseek-v4-flash
B09NN699FT,attribute_3fed0fae4f0e5c97,0.95,store: WXJ13,deepseek-v4-flash
B09NN699FT,attribute_525d5eeb0c4a5d73,0.9,Item Form: Clip,deepseek-v4-flash
B09NN699FT,attribute_4473db570896b2ec,0.9,Material: Silk,deepseek-v4-flash
B09NN699FT,attribute_b5e40193f5860fe3,0.9,Hair Type: Curly,deepseek-v4-flash
B09NN699FT,attribute_2ac91817c6dc2ed6,0.9,Unit Count: 1.00 Count,deepseek-v4-flash
B00QBZ7D9E,attribute_7ad6c3de42bc251c,0.95,store: uxcell,deepseek-v4-flash
B00QBZ7D9E,attribute_64e1b604d8fbc982,0.9,Material: Metal,deepseek-v4-flash
B00QBZ7D9E,attribute_f03aa5d3452da917,0.9,Color: Black,deepseek-v4-flash
B00QBZ7D9E,attribute_960c62985c1f0d48,0.9,Unit Count: 5.0 Count,deepseek-v4-flash
B00QBZ7D9E,attribute_ecd13d995fe7b527,0.75,title: 5Pcs,deepseek-v4-flash
B089SQTVDW,attribute_68c0b5a87be34436,0.95,store: AISI BEAUTY,deepseek-v4-flash
B089SQTVDW,attribute_0efeb815415e9186,0.9,Material: Human Hair,deepseek-v4-flash
B089SQTVDW,attribute_5d246dfff47e340c,0.9,"Hair Type: Wavy, Curly",deepseek-v4-flash
B089SQTVDW,attribute_9c9d9eadb3298777,0.75,title: 24 Inch,deepseek-v4-flash
B07YJGYBXX,attribute_220df82c8f43e4dd,0.95,store: YePei,deepseek-v4-flash
B07YJGYBXX,attribute_b5e40193f5860fe3,0.9,Hair Type: Curly,deepseek-v4-flash
B07YJGYBXX,attribute_4ca1f2551c24976f,0.75,title: 150g,deepseek-v4-flash
B07YJGYBXX,attribute_f03aa5d3452da917,0.65,title: black,deepseek-v4-flash
B07B9WW5YB,attribute_17e8fdc5197bb998,0.95,store: Daxile,rules
B0159D9ZJ4,attribute_f518ba21b404ac85,0.95,store: umi,rules
B01CLV0KI2,attribute_fa45064c5442d9ec,0.95,store: Naked Nails,rules
B08G7WN5BM,attribute_2620fa22e76cff1d,0.95,store: KEMEISI,rules
B08L8THDHW,attribute_926bb61ed0c3f1c5,0.95,store: MowigLux,deepseek-v4-flash
B08L8THDHW,attribute_cd744dd77d211b38,0.9,Material: Synthetic,deepseek-v4-flash
B08L8THDHW,attribute_fa047c4875a87361,0.9,"Hair Type: Curly, Afro Kinky Curly",deepseek-v4-flash
B08L8THDHW,attribute_f03aa5d3452da917,0.65,title: black,deepseek-v4-flash
B0086UL0WS,attribute_53970d2893b22d59,0.95,store: FACE atelier,deepseek-v4-flash
