attribute_id,name,value,attribute_type
attribute_3c2e2f6bd806e15f,size,1pcs,size
attribute_5ddb52ded76ffb08,brand,jpnk,brand
attribute_703a408417ea8951,material,plastic,material
attribute_0f45f2632c4e6fb6,hair_type,"wavy,straight",other
attribute_71a38da13f2f676e,hair_type,"wavy, straight",other
attribute_929f2e2115e1be19,product_type,comb,product_type
attribute_a9e0c010e30484ff,brand,jolitee,brand
attribute_6329855376bd6cb5,scent,"lavender, jasmine, rose, chocolate, chamomile, verbena, lemon",scent
attribute_9183c5a68e682841,size,6.35oz,size
attribute_152c973c88764e88,product_type,soap,product_type
attribute_f2d77ed8089fa72d,brand,argan deluxe,brand
attribute_dc076d9f44ce1b79,hair_type,"all, color treated",other
attribute_11e610d24b0771b9,size,1.00 fl oz,size
attribute_06f01cfea946723b,product_type,hair care bundle,product_type
attribute_b36226857e6d1674,ingredient,argan oil,ingredient
attribute_c779ad0e67029f46,brand,wefoo,brand
attribute_b73ee94922a32934,brand,anself,brand
attribute_97ce818f9d78d1d4,material,ceramic,material
attribute_e6e420351e44cf93,product_type,hair curling iron,product_type
attribute_10b11b5d834684e6,benefit,anti-scalded,benefit
attribute_d73ac100dea962e0,brand,calphdiar,brand
attribute_8ba8db87ff92bb46,texture,pair,texture
attribute_6e76972f4469de0a,material,faux mink,material
attribute_16360a0df943cef9,size,25mm,size
attribute_9dbf6b5b147757a9,product_type,false eyelashes,product_type
attribute_fcee54d66d4e8642,benefit,volume,benefit
attribute_0962671d73a17fb7,brand,seajea,brand
attribute_811b9dd414b67c88,brand,feimeng jewelry,brand
attribute_3054779216bf9986,material,silver,material
attribute_b2ab3ca783a685c7,brand,b·leve,brand
attribute_f86654b7149035ea,color,green,color
attribute_ba52e395a256ac2d,brand,shimmer anna shine,brand
attribute_dee51987bcf07b07,brand,paradise emerald,brand
attribute_f6ca3be7322db571,brand,zuri,brand
attribute_bb69160faedc8bbe,benefit,"smoothening,moisturizing",benefit
attribute_76bae4359e0c5304,brand,colorrose,brand
attribute_c20d1434aea1bde2,brand,bvga,brand
attribute_35314a0e21b54063,color,pastel,color
attribute_6ed2012a955320c6,size,7 pack,size
attribute_7ea7ff445e579dda,brand,artist unknown,brand
attribute_ea1c599aa9221b14,hair type,curly,other
attribute_290b9849696f2334,texture,water wave,texture
attribute_c12173c39738b671,product type,crochet braid hair,product_type
attribute_2be0ca42155e504c,brand,bodermincer,brand
attribute_962320cee0315e4d,texture,pencil,texture
attribute_a07c22439c6b092f,benefit,"softening,long lasting",benefit
attribute_ec98695470e2530e,item form,pencil,texture
attribute_4d2fbf302c4c399e,benefit,softening,benefit
attribute_3ee5f26e48402dc2,color,light brown,color
attribute_d23a37976725758a,benefit,waterproof,benefit
attribute_89339957c4204c01,brand,j. leblanc,brand
attribute_8f8dc29f8a9d68e6,size,8 fl.oz,size
attribute_6c1232a90a69bec3,item form,oil,texture
attribute_bdc241d83d6e480f,ingredient,pistachio,ingredient
attribute_8b1c18dc9007cf5f,size,50g,size
attribute_663b2b0f01c26900,brand,siquk,brand
attribute_6e79f6d1bdf2cb50,brand,beauty by earth,brand
attribute_8b329a6097aa07ac,skin_type,"acne prone,sensitive,all skin types",skin_type
attribute_039d4a083bd09224,brand,bath & body works,brand
attribute_c2cdb598f9b6d417,brand,reliamed,brand
attribute_66885ed25dfbc59d,brand,willbond,brand
attribute_208219f6702872bf,color,gray,color
attribute_c5db5995ab0995d9,brand,isaic,brand
attribute_ed5c67af1cffc384,size,16 inch,size
attribute_5ca0eaa845872e42,brand,skully's ctz beard oil,brand
attribute_91c2ba8a4ef8824f,texture,"liquid,balm",texture
attribute_766830fce160dce1,size,2 fl. oz,size
attribute_f196feb4272b76ce,brand,vanessa,brand
attribute_dbb4b768e54a993b,hair_type,color,other
attribute_b0aeeb2db5c0cfc1,brand,instant fab,brand
attribute_34f14c15dd76cda1,material,human,material
attribute_3361884a985c702e,brand,city costume wigs,brand
attribute_377fd0e13200e3f9,brand,essie,brand
attribute_6f793aa50d1543b7,size,13.5ml,size
attribute_68249358eb428e5e,product_type,nail polish,product_type
attribute_57f3b79dfba06688,color,mixtaupe,color
attribute_79bcc179efa5da34,brand,hanyudie,brand
attribute_3267dcd9b69f1483,product_type,hair extensions,product_type
attribute_c4767613f19c590b,usage,clip on,usage
attribute_da59102ae775dc99,brand,very100,brand
attribute_bd5de0669191bed6,product_type,storage box,product_type
attribute_c4436bd9eaae4d75,size,pack of 50,size
attribute_26b151bd18bd973e,brand,messen,brand
attribute_cf2367f7bd8087f8,size,3.00 count,size
attribute_4d032a9626e7b13a,product_type,hair bobby pins,product_type
attribute_39227648ecd5e931,size,3 count,size
attribute_5a87129a6de1d021,target_area,hair,target_area
attribute_07adab90604ad211,usage,wedding,usage
attribute_2164f20b089da8df,brand,glamorous collection,brand
attribute_88295ab0dace3612,size,1 mm,size
attribute_8fa89957f9947839,product_type,nose stud,product_type
attribute_ba7c6ffe0a0377b1,color,rose gold,color
attribute_7a929a8a31688a99,target_area,nose,target_area
attribute_c79e9ccdfeb153c7,usage,stick on,usage
attribute_75e7b3851ac62940,benefit,reusable,benefit
attribute_34d674bb38de37bb,brand,cala,brand
attribute_982b6882e4d8c677,product_type,cosmetic wedge,product_type
attribute_4760eb52804ee5a4,size,6 count,size
attribute_566cd3ce6ccbb52f,usage,travel,usage
attribute_49c87cd672870143,brand,i'm meme,brand
attribute_b7d9fd2113f3e902,item form,liquid,texture
attribute_2476ed5526de471b,color,005 mystery beet,color
attribute_74a4ad4908523a7e,product type,tint,product_type
attribute_98d973fc8ebfa635,brand,x-pression,brand
attribute_369b252f43837333,size,52 inches,size
attribute_8700ab174718f90c,color,99j,color
attribute_09012e865a052d72,product type,hair braids,product_type
attribute_b4beed66526f5708,brand,native,brand
attribute_1eb9b10a94a83c21,size,23 ounce,size
attribute_87b3872db4b89401,size,11.5 oz,size
attribute_fd99a16a1f731108,item form,powder,texture
attribute_62bd139f4c741ce4,unit count,23 ounce,size
attribute_a861bbf0795bea46,product type,body wash,product_type
attribute_005fde3432ede2db,brand,bng,brand
attribute_fdedd27bbe732b96,brand,mytat,brand
attribute_ffed54d00714f2c0,brand,kat von d,brand
attribute_c61c4556df9a679e,brand,skyvan,brand
attribute_33fd5b94b2446699,size,24.00 count,size
attribute_f0ebf97997089587,size,24 pcs,size
attribute_4e8897a53ef49e0d,brand,travalo,brand
attribute_311701f7d64460d1,brand,orly,brand
attribute_e3ff5ce737b0c614,color,peach,color
attribute_dacddcd8a0416860,brand,osensia,brand
attribute_ae50cb888766fd71,hair_type,"oily, dry, curly, normal",other
attribute_25978e3e934f91e2,size,8 ounces,size
attribute_486aebfb036332e6,brand,wendunide,brand
attribute_43b421e5dc899c43,color,a,color
attribute_d9512691300b669e,brand,mad max,brand
attribute_5591c2792e48eedd,brand,neitsi,brand
attribute_14808cfcc76bf253,size,1g,size
attribute_e79513cd78171b58,brand,l'oreal paris,brand
attribute_320c95d539518c2e,size,2.00 count,size
attribute_0ac8e814e614e05f,brand,corrine,brand
attribute_05d4b4b90d711341,brand,spider man,brand
attribute_3d7a4318984bab57,brand,spider-man,brand
attribute_cf0a22176b81104a,product_type,shave set,product_type
attribute_f22e3dfe7a936677,usage,bath time,usage
attribute_003f952f13fc6221,brand,ycigfuns,brand
attribute_f70118a981b2eea9,hair_type,deep wave,other
attribute_75646f2c7d9d898b,product_type,headband wig,product_type
attribute_c633b0a339252bcb,color,natural black,color
attribute_7b094c2617d1c11d,size,14 inches,size
attribute_9f97212fd95d7077,brand,ibd,brand
attribute_3253ebb81ef67e2e,color,multi-color,color
attribute_2059355749438aa8,size,2oz,size
attribute_5d9d997b306d6574,product_type,builder gel,product_type
attribute_8b7e6fcb488e6162,size,2 oz,size
attribute_16c8b355594f582b,size,35ml,size
attribute_a64a2d1e2446de18,brand,banraishop,brand
attribute_f1040b5e991051e7,brand,nuobesty,brand
attribute_0a552befcc9a10a1,material,cotton,material
attribute_44a1264b8715e459,product_type,hair accessory,product_type
attribute_c1c0858c6ad58c9a,target_area,head,target_area
attribute_af9452447f4dc69e,usage,party,usage
attribute_4cabf8df81cdf465,brand,gelish,brand
attribute_bc4ed419453e4c91,size,15 ml,size
attribute_3b78e9371c665bc7,form,gel,other
attribute_32be049edeae429a,color,garnet crème,color
attribute_9d9f1b45ec53d0a2,brand,deepmind,brand
attribute_ead9ec30b28086cc,product_type,eyeliner,product_type
attribute_06c8e5a861ee78fd,finish,matte,other
attribute_c5c304a6292d0374,duration,long lasting,benefit
attribute_eb8aa23539bba2d6,size,8ml,size
attribute_e62fbf53a019a44e,brand,parfums de coeur,brand
attribute_b06ddfd075682715,scent,vanilla,scent
attribute_189d90ef866b9c96,size,3 pack,size
attribute_6206d64bca214bf5,brand,salerm,brand
attribute_fe8163ba181ec7f7,benefit,"hydrating,shine,softness,moisturizing,repairing,rejuvenating",benefit
attribute_8c7109a4892f4f82,hair_type,damaged,other
attribute_28f2d79a6884da36,size,250 ml,size
attribute_37936d7306972609,brand,toptim,brand
attribute_d897e8f9b0651009,texture,ribbon,texture
attribute_25a4ae8de9e6cb8a,material,"cloth, plastic",material
attribute_13f6a0c1d6d1b3fa,brand,rin,brand
attribute_c993a796d72ad812,brand,colorgram tok,brand
attribute_cb54b23e19c22a4e,size,4g,size
attribute_ae4c5fd0c910bef4,brand,blulu,brand
attribute_5b626bf504ffa8b0,brand,ever faith,brand
attribute_36264c106eb61396,material,"pearl, metal",material
attribute_d2723788a1d9251f,size,40.00 count,size
attribute_9fc540e5f357cc9b,size,40 pcs,size
attribute_b8a0bb9a0f811190,brand,vivid stella,brand
attribute_f70cf2bfe1aee198,size,24 count (pack of 1),size
attribute_11dac839ac502989,brand,a arran,brand
attribute_83b3524e21032434,scent,"citrus, sandalwood, fresh, musk, rose, lemon",scent
attribute_d6494bdce1676622,size,200g,size
attribute_5375bf8b0c32e6f4,brand,my life scents,brand
attribute_44ea97e9f51e3da8,texture,"oil, spray",texture
attribute_7d891282373a70a6,size,1 count,size
attribute_ffce5f1bf8c4b5eb,size,180ml,size
attribute_a91fc6f1d042f108,product_type,lotion,product_type
attribute_687405fb6d6a74c1,size,180 ml,size
attribute_802faaf6ef31e347,texture,non-greasy cream,texture
attribute_9665fc9632d04d9c,usage,body moisturizer,usage
attribute_aaeea4df516cb8f9,target_area,body,target_area
attribute_bcb3db71a249f396,brand,moyo natural labs,brand
attribute_611fe1fe495ea409,size,8 oz,size
attribute_2b18795606d31e1c,material,bpa free pet plastic,material
attribute_f12b2549edc75f4f,product_type,spray bottle,product_type
attribute_96ff896af2474031,usage,for essential oils and liquids,usage
attribute_ef142d1729ca0e41,brand,koai,brand
attribute_88e1565a75b5f23a,size,10 inch,size
attribute_3f12bdca71a81170,color,1b/99j two tone,color
attribute_5bbc3de2bf29b171,material,unprocessed brazilian virgin human hair,material
attribute_e51071afa87a0a56,size,"10,12,14 inches",size
attribute_c4ecc8a45e40a224,brand,staleks,brand
attribute_4e009f5d760aeeb3,brand,marine forest,brand
attribute_6cd51fcb4aade6a1,size,2 pcs,size
attribute_863f332ccc4e5415,brand,thebestton,brand
attribute_397cbf61878a8585,scent,"mint, rosemary",scent
attribute_848b155a685efd97,size,4 pack,size
attribute_da69935009a63b70,brand,sam&helen,brand
attribute_2d309baeecfc7ddc,material,mink fur,material
attribute_aabfacda9fef049f,brand,fashion zone,brand
attribute_6f0d4c603b1c85fd,brand,moresoo,brand
attribute_b31afbde7f6c30db,size,12 inch,size
attribute_72f40f803eb5363f,color,blonde,color
attribute_d375d7bb67c8d9c5,brand,christmas feeling,brand
attribute_88b48f70cc4facd5,brand,seisso,brand
attribute_7ac7a33ff46f1b41,brand,niegmeag,brand
attribute_f441d31c40d7a937,brand,elice,brand
attribute_fcbd4d872f1d86c6,material,"metal, crystal",material
attribute_b8358122f6b07f6f,color,"blue,green,white,pink,silver,purple",color
attribute_6a257642da35703d,brand,kidskin,brand
attribute_90288547f6c40262,scent,tea tree,scent
attribute_d466a100bb4ce0fc,texture,"bar, foam",texture
attribute_f3fd33307455c7a0,brand,mollensiuer,brand
attribute_530828b3049769bc,material,foam,material
attribute_a541fc05abd5a052,size,12pcs,size
attribute_50dbe08612efe4ba,brand,becca,brand
attribute_8b33d88a2bc54cce,color,"bronze, peach",color
attribute_94f1c02ccfe3364c,brand,vaga,brand
attribute_37f893df5ea0540a,brand,polish me silly,brand
attribute_34533587cc1bab95,size,0.5 fl. oz,size
attribute_ade2617e20836e14,brand,stamped glorious,brand
attribute_144088894d57278b,hair_type,"curly,kinky",other
attribute_be57b8ad4ccc967e,brand,pladio,brand
attribute_c2364ab92487a038,size,8 inch,size
attribute_5d1839ecce8130c7,brand,cokohappy,brand
attribute_cd6afc80a1683bf2,brand,bielenda,brand
attribute_2df7a61d6a6c1b35,size,1 fl oz,size
attribute_62a3254f205355c1,brand,caserbay,brand
attribute_49b30e4679274169,brand,j & h variety perfume,brand
attribute_01492e60c62a18e7,size,2.3 fl oz,size
attribute_0d766ef3876dd308,brand,stardel,brand
attribute_522770f1c65cc5a4,size,3pack,size
attribute_8d189f025648e42a,brand,toycamp,brand
